Search Term,Average Interest,Wikipedia Interest,Year
Philadelphia Flyers,1.6981132075471699,84.81132075471699,2020
Dallas Stars,4.90566037735849,84.81132075471699,2020
Miami Heat,18.07547169811321,84.81132075471699,2020
Boston Celtics,8.132075471698114,84.81132075471699,2020
Super Tuesday,2.4150943396226414,11.169811320754716,2020
Kanye West,11.660377358490566,35.54716981132076,2020
Joaquin Phoenix,7.6415094339622645,84.81132075471699,2020
Black Panther,7.264150943396227,26.30188679245283,2020
Derrick Henry,6.113207547169812,84.81132075471699,2020
Mike Pence,8.11320754716981,70.52830188679245,2020
Caitlyn Jenner,3.490566037735849,89.75471698113208,2019
Lady Gaga,10.075471698113208,23.50943396226415,2019
Miley Cyrus,16.452830188679247,63.22641509433962,2019
Ted Cruz,7.3584905660377355,76.81132075471699,2018
Cleveland Cavaliers,19.11320754716981,89.11320754716981,2018
Houston Rockets,9.132075471698114,84.52830188679245,2017
Donald Trump,16.962264150943398,6.886792452830188,2016
James Rodríguez,0.0,85.49056603773585,2016
Zlatan Ibrahimović,0.0,86.56603773584905,2016
Lionel Messi,3.5283018867924527,86.56603773584905,2016
Chicago Cubs,11.849056603773585,24.830188679245282,2016
James Franco,6.056603773584905,85.49056603773585,2016
Kim Kardashian,20.433962264150942,27.962264150943398,2016
Marco Rubio,11.20754716981132,85.49056603773585,2016
Ted Cruz,20.32075471698113,51.43396226415094,2016
Bernie Sanders,30.0,37.113207547169814,2016
Cleveland Cavaliers,16.18867924528302,85.49056603773585,2016
Hello,52.58490566037736,68.41509433962264,2016
Sangria,6.90566037735849,85.49056603773585,2016
Big back,6.9245283018867925,91.32075471698113,2024
Brat,14.90566037735849,91.32075471698113,2024
Roman empire,6.962264150943396,91.32075471698113,2024
Coquette,6.283018867924528,91.32075471698113,2024
Hear me out,1.6226415094339623,91.32075471698113,2024
17 diapers,0.16981132075471697,91.32075471698113,2024
Give me my money,1.0188679245283019,91.32075471698113,2024
Blue nail theory,0.0,91.32075471698113,2024
Ladder theory,0.0,91.32075471698113,2024
Men's first love theory,0.0,91.32075471698113,2024
Let them theory,0.1509433962264151,91.32075471698113,2024
Birth order dating theory,0.018867924528301886,91.32075471698113,2024
Taxi cab theory,0.0,91.32075471698113,2024
Invisible string theory,0.018867924528301886,91.32075471698113,2024
October theory,0.05660377358490566,91.32075471698113,2024
Orange peel theory,0.16981132075471697,91.32075471698113,2024
Burnt toast theory,0.1320754716981132,91.32075471698113,2024
Call of Duty: Black Ops 6,3.2264150943396226,91.32075471698113,2024
Wuthering Waves,7.943396226415095,91.32075471698113,2024
Dragon's Dogma II,0.0,91.32075471698113,2024
Block Blast!,7.415094339622642,91.32075471698113,2024
Black Myth: Wukong,7.056603773584905,84.75471698113208,2024
Sprunki,10.0,91.32075471698113,2024
Palworld,7.867924528301887,16.39622641509434,2024
Infinite Craft,19.471698113207548,91.32075471698113,2024
Strands,56.64150943396226,68.16981132075472,2024
Water bath pickles recipe,0.0,91.32075471698113,2024
Pickle peppers recipe,0.0,91.32075471698113,2024
Pickle sandwich recipe,0.0,91.32075471698113,2024
Pickled banana peppers recipe,0.0,91.32075471698113,2024
Dill pickle bread recipe,0.0,91.32075471698113,2024
Chia water,1.1132075471698113,91.32075471698113,2024
Sleepy girl mocktail,0.11320754716981132,91.32075471698113,2024
Onion boil,0.11320754716981132,91.32075471698113,2024
Logan cucumbers,0.0,91.32075471698113,2024
Dubai chocolate bar,1.9811320754716981,91.32075471698113,2024
Dense bean salad,0.24528301886792453,91.32075471698113,2024
Tini's mac and cheese,0.018867924528301886,91.32075471698113,2024
Tanghulu,1.830188679245283,91.32075471698113,2024
Olympics chocolate muffins,0.07547169811320754,91.32075471698113,2024
Please Please Please - Sabrina Carpenter,1.3396226415094339,91.32075471698113,2024
