Date,Discipline,Sub-discipline,Gold Name,Gold Country,Silver Name,Silver Country,Bronze Name,Bronze Country,,Record
8/10/2024,Wrestling,Men's Freestyle 125kg Final,Geno PETRIASHVILI,GEO,Amir Hossein ZARE,IRI,,,,
8/10/2024,Wrestling,Women's Freestyle 62kg Bronze Medal Match,,,,,Aisuluu TYNYBEKOVA,KGZ,,
8/10/2024,Wrestling,Women's Freestyle 62kg Bronze Medal Match,,,,,Grace Jacob BULLEN,NOR,,
8/10/2024,Wrestling,Women's Freestyle 62kg Final,MOTOKI Sakura,JPN,Iryna KOLIADENKO,UKR,,,,
8/10/2024,Artistic Swimming,Duet Free Routine,China,CHN,Great Britain,GBR,Netherlands,NED,,
8/10/2024,Athletics,Women's Javelin Throw Final,KITAGUCHI Haruka,JPN,Jo-Ane van DYK,RSA,Nikola OGRODNIKOVA,CZE,,
8/10/2024,Athletics,Women's 100m Hurdles Final,Masai RUSSELL,USA,Cyrena SAMBA-MAYELA,FRA,Jasmine CAMACHO-QUINN,PUR,,
8/10/2024,Athletics,Men's 5000m Final,Jakob INGEBRIGTSEN,NOR,Ronald KWEMOI,KEN,Grant FISHER,USA,,
8/10/2024,Athletics,Women's 1500m Final,Faith KIPYEGON,KEN,Jessica HULL,AUS,Georgia BELL,GBR,,
8/10/2024,Taekwondo,Men +80kg Bronze Medal Contests,,,,,Rafael ALBA,CUB,,
8/10/2024,Taekwondo,Men +80kg Bronze Medal Contests,,,,,Cheick Sallah CISSE,CIV,,
8/10/2024,Taekwondo,Men +80kg Gold Medal Contest,Arian SALIMI,IRI,Caden CUNNINGHAM,GBR,,,,
8/10/2024,Weightlifting,Men's +102kg,Lasha TALAKHADZE,GEO,Varazdat LALAYAN,ARM,Gor MINASYAN,BRN,,
8/10/2024,Taekwondo,Women +67kg Bronze Medal Contests (#435),,,,,LEE Dabin,KOR,,
8/10/2024,Taekwondo,Women +67kg Bronze Medal Contests (#437),,,,,Nafia KUS AYDIN,TUR,,
8/10/2024,Athletics,Men's 4 x 400m Relay Final,United States,USA,Botswana,BOT,Great Britain,GBR,,
8/10/2024,Athletics,Women's 4 x 400m Relay Final,United States,USA,Netherlands,NED,Great Britain,GBR,,
8/10/2024,Breaking,B-Boys Gold Medal Battle,,,,,VICTOR MONTALVO,USA,,
8/10/2024,Breaking,B-Boys Gold Medal Battle,PHIL WIZARD,CAN,DANY DANN,FRA,,,,
8/10/2024,Taekwondo,Women +67kg Gold Medal Contest,Althea LAURIN,FRA,Svetlana OSIPOVA,UZB,,,,
8/10/2024,Basketball,Men's Gold Medal Game,United States,USA,France,FRA,,,,
8/10/2024,Boxing,Women's 57kg - Final,LIN Yu Ting,TPE,Julia SZEREMETA,POL,,,,
8/10/2024,Boxing,Men's 57kg - Final,Abdumalik KHALOKOV,UZB,Munarbek SEIITBEK UULU,KGZ,,,,
8/10/2024,Beach Volleyball,Men's Bronze Medal Match,,,,,MOL/SORUM,NOR,,
8/10/2024,Beach Volleyball,Men's Gold Medal Match,AHMAN/HELLVIG,SWE,EHLERS/WICKLER,GER,,,,
8/10/2024,Boxing,Women's 75kg - Final,LI Qian,CHN,Atheyna Bibeichi BYLON,PAN,,,,
8/10/2024,Boxing,Men's +92kg - Final,Bakhodir JALOLOV,UZB,Ayoub GHADFA DRISSI EL AISSAOUI,ESP,,,,
8/11/2024,Athletics,Women's Marathon,Sifan HASSAN,NED,Tigst ASSEFA,ETH,Hellen OBIRI,KEN,,
8/11/2024,Handball,Men's Bronze Medal Match,,,,,Spain,ESP,,
8/11/2024,Water Polo,Men's Bronze Medal Match,,,,,United States,USA,,
8/11/2024,Basketball,Women's Bronze Medal Game,,,,,Australia,AUS,,
8/11/2024,Weightlifting,Women's +81kg,LI Wenwen,CHN,PARK Hyejeong,KOR,Emily CAMPBELL,GBR,,
8/11/2024,Wrestling,Men's Freestyle 65kg Bronze Medal Match,,,,,Sebastian C RIVERA,PUR,,
8/11/2024,Wrestling,Men's Freestyle 65kg Bronze Medal Match,,,,,Islam DUDAEV,ALB,,
8/11/2024,Wrestling,Men's Freestyle 65kg Final,KIYOOKA Kotaro,JPN,Rahman AMOUZADKHALILI,IRI,,,,
8/11/2024,Wrestling,Men's Freestyle 97kg Bronze Medal Match,,,,,Magomedkhan MAGOMEDOV,AZE,,
8/11/2024,Wrestling,Men's Freestyle 97kg Bronze Medal Match,,,,,Amirali AZARPIRA,IRI,,
8/11/2024,Wrestling,Men's Freestyle 97kg Final,Akhmed TAZHUDINOV,BRN,Givi MATCHARASHVILI,GEO,,,,
8/11/2024,Wrestling,Women's Freestyle 76kg Bronze Medal Match,,,,,Milaimy de la Carid. MARIN POTRILLE,CUB,,
8/11/2024,Wrestling,Women's Freestyle 76kg Bronze Medal Match,,,,,Tatiana RENTERIA RENTERIA,COL,,
8/11/2024,Wrestling,Women's Freestyle 76kg Final,KAGAMI Yuka,JPN,Kennedy Alexis BLADES,USA,,,,
8/11/2024,Modern Pentathlon,"Women's Individual, Final, Laser Run",Michelle GULYAS,HUN,Elodie CLOUVEL,FRA,SEONG Seungmin,KOR,,
8/11/2024,Volleyball,Women's Gold Medal Match,Italy,ITA,United States,USA,,,,
8/11/2024,Cycling Track,"Women's Sprint, Finals - Race 2",,,,,Emma FINUCANE,GBR,,
8/10/2024,Cycling Track,"Women's Sprint, Final",ANDREWS Ellesse,NZL,FRIEDRICH Lea,GER,,,,
8/11/2024,Handball,Men's Gold Medal Match,Denmark,DEN,Germany,GER,,,,
8/11/2024,Cycling Track,"Men's Keirin, Final for Gold",Harrie LAVREYSEN,NED,Matthew RICHARDSON,AUS,Matthew GLAETZER,AUS,,
8/11/2024,Cycling Track,"Women's Omnium, Points Race 4/4",Jennifer VALENTE,USA,Daria PIKULIK,POL,Ally WOLLASTON,NZL,,
8/11/2024,Water Polo,Men's Gold Medal Match,Serbia,SRB,Croatia,CRO,,,,
8/11/2024,Basketball,Women's Gold Medal Game,United States,USA,France,FRA,,,,
