Date,Discipline,Sub-discipline,Gold Name,Gold Country,Silver Name,Silver Country,Bronze Name,Bronze Country,,Record
8/3/2024,Sailing,Men's Windsurfing - Final,Tom REUVENY,ISR,Grae MORRIS,AUS,Luuc van OPZEELAND,NED,,
8/3/2024,Table Tennis,Women's Singles Gold Medal Match,CHEN Meng,CHN,SUN Yingsha,CHN,,,,
8/3/2024,Archery,Women's Individual Bronze Medal Match,,,,,Lisa BARBELIN,FRA,,
8/3/2024,Archery,Women's Individual Gold Medal Match,LIM Sihyeon,KOR,NAM Suhyeon,KOR,,,,
8/3/2024,Badminton,Women's Doubles Bronze Medal Match,,,,,MATSUYAMA/SHIDA,JPN,,
8/3/2024,Badminton,Women's Doubles Gold Medal Match,CHEN/JIA,CHN,LIU/TAN,CHN,,,,
8/3/2024,Artistic Gymnastics,Men's Floor Exercise Final,Carlos Edriel YULO,PHI,Artem DOLGOPYAT,ISR,Jake JARMAN,GBR,,
8/3/2024,Shooting,Skeet Men's Final,Vincent HANCOCK,USA,Conner Lynn PRINCE,USA,LEE Meng Yuan,TPE,,
8/3/2024,Judo,Mixed Team Bronze Medal A,,,,,Brazil,BRA,,
8/3/2024,Judo,Mixed Team Bronze Medal B,,,,,Korea,KOR,,
8/3/2024,Judo,Mixed Team Final,France,FRA,Japan,JPN,,,,
8/3/2024,Artistic Gymnastics,Women's Vault Final,Simone BILES,USA,Rebeca ANDRADE,BRA,Jade CAREY,USA,,
8/3/2024,Artistic Gymnastics,Men's Pommel Horse Final,Rhys MC CLENAGHAN,IRL,Nariman KURBANOV,KAZ,Stephen NEDOROSCIK,USA,,
8/3/2024,Boxing,Women's 60kg - Semifinal,,,,,WU Shih Yi,TPE,,
8/3/2024,Fencing,Women's Sabre Team Bronze Medal Match,,,,,Japan,JPN,,
8/3/2024,Fencing,Women's Sabre Team Gold Medal Match,Ukraine,UKR,Korea,KOR,,,,
8/3/2024,Athletics,Men's Shot Put Final,Ryan CROUSER,USA,Joe KOVACS,USA,Rajindra CAMPBELL,JAM,,
8/3/2024,Athletics,Women's Triple Jump Final,Thea LAFOND,DMA,Shanieka RICKETTS,JAM,Jasmine MOORE,USA,,
