name,year,state,search_interest
Squirtle,2024,Connecticut,60
Squirtle,2024,Delaware,50
Squirtle,2024,District of Columbia,38
Squirtle,2024,Florida,50
Squirtle,2024,Georgia,52
Squirtle,2024,Hawaii,100
Squirtle,2024,Idaho,76
Squirtle,2024,Illinois,57
Squirtle,2024,Indiana,68
Squirtle,2024,Iowa,69
Squirtle,2024,Kansas,61
Squirtle,2024,Kentucky,68
Squirtle,2024,Louisiana,50
Squirtle,2024,Maine,72
Squirtle,2024,Maryland,61
Squirtle,2024,Massachusetts,54
Squirtle,2024,Michigan,64
Squirtle,2024,Minnesota,61
Squirtle,2024,Mississippi,44
Squirtle,2024,Missouri,69
Squirtle,2024,Montana,57
Squirtle,2024,Nebraska,67
Squirtle,2024,Nevada,78
Squirtle,2024,New Hampshire,56
Squirtle,2024,New Jersey,60
Squirtle,2024,New Mexico,69
Squirtle,2024,New York,53
Squirtle,2024,North Carolina,55
Squirtle,2024,North Dakota,68
Squirtle,2024,Ohio,58
Squirtle,2024,Oklahoma,69
Squirtle,2024,Oregon,66
Squirtle,2024,Pennsylvania,58
Squirtle,2024,Rhode Island,72
Squirtle,2024,South Carolina,55
Squirtle,2024,South Dakota,70
Squirtle,2024,Tennessee,58
Squirtle,2024,Texas,67
Squirtle,2024,Utah,90
Squirtle,2024,Vermont,63
Squirtle,2024,Virginia,56
Squirtle,2024,Washington,69
Squirtle,2024,West Virginia,74
Squirtle,2024,Wisconsin,68
Squirtle,2024,Wyoming,59
Wartortle,2024,Alabama,61
Wartortle,2024,Alaska,0
Wartortle,2024,Arizona,69
Wartortle,2024,Arkansas,76
Wartortle,2024,California,76
Wartortle,2024,Colorado,76
Wartortle,2024,Connecticut,61
Wartortle,2024,Delaware,0
Wartortle,2024,District of Columbia,0
Wartortle,2024,Florida,53
Wartortle,2024,Georgia,53
Wartortle,2024,Hawaii,69
Wartortle,2024,Idaho,69
Wartortle,2024,Illinois,61
Wartortle,2024,Indiana,76
Wartortle,2024,Iowa,92
Wartortle,2024,Kansas,69
Wartortle,2024,Kentucky,76
Wartortle,2024,Louisiana,46
Wartortle,2024,Maine,92
Wartortle,2024,Maryland,61
Wartortle,2024,Massachusetts,61
Wartortle,2024,Michigan,69
Wartortle,2024,Minnesota,76
Wartortle,2024,Mississippi,46
Wartortle,2024,Missouri,92
Wartortle,2024,Montana,0
Wartortle,2024,Nebraska,84
Wartortle,2024,Nevada,84
Wartortle,2024,New Hampshire,76
Wartortle,2024,New Jersey,76
Wartortle,2024,New Mexico,69
Wartortle,2024,New York,53
Wartortle,2024,North Carolina,69
Wartortle,2024,North Dakota,0
Wartortle,2024,Ohio,76
Wartortle,2024,Oklahoma,100
Wartortle,2024,Oregon,84
Wartortle,2024,Pennsylvania,61
Wartortle,2024,Rhode Island,84
Wartortle,2024,South Carolina,46
Wartortle,2024,South Dakota,0
Wartortle,2024,Tennessee,69
Wartortle,2024,Texas,69
Wartortle,2024,Utah,84
Wartortle,2024,Vermont,0
Wartortle,2024,Virginia,69
Wartortle,2024,Washington,84
Wartortle,2024,West Virginia,69
Wartortle,2024,Wisconsin,84
Wartortle,2024,Wyoming,0
Blastoise,2024,Alabama,42
Blastoise,2024,Alaska,77
Blastoise,2024,Arizona,64
Blastoise,2024,Arkansas,61
Blastoise,2024,California,71
Blastoise,2024,Colorado,61
Blastoise,2024,Connecticut,56
Blastoise,2024,Delaware,46
Blastoise,2024,District of Columbia,33
Blastoise,2024,Florida,47
Blastoise,2024,Georgia,46
Blastoise,2024,Hawaii,100
Blastoise,2024,Idaho,69
Blastoise,2024,Illinois,52
Blastoise,2024,Indiana,60
Blastoise,2024,Iowa,62
Blastoise,2024,Kansas,52
Blastoise,2024,Kentucky,64
Blastoise,2024,Louisiana,44
Blastoise,2024,Maine,59
Blastoise,2024,Maryland,55
Blastoise,2024,Massachusetts,53
Blastoise,2024,Michigan,60
Blastoise,2024,Minnesota,64
Blastoise,2024,Mississippi,38
Blastoise,2024,Missouri,56
Blastoise,2024,Montana,50
Blastoise,2024,Nebraska,57
Blastoise,2024,Nevada,70
Blastoise,2024,New Hampshire,60
Blastoise,2024,New Jersey,59
Blastoise,2024,New Mexico,56
Blastoise,2024,New York,40
Blastoise,2024,North Carolina,53
Blastoise,2024,North Dakota,69
Blastoise,2024,Ohio,56
Blastoise,2024,Oklahoma,59
Blastoise,2024,Oregon,64
Blastoise,2024,Pennsylvania,55
Blastoise,2024,Rhode Island,72
Blastoise,2024,South Carolina,50
Blastoise,2024,South Dakota,60
Blastoise,2024,Tennessee,52
Blastoise,2024,Texas,61
Blastoise,2024,Utah,79
Blastoise,2024,Vermont,58
Blastoise,2024,Virginia,53
Blastoise,2024,Washington,66
Blastoise,2024,West Virginia,65
Blastoise,2024,Wisconsin,61
Blastoise,2024,Wyoming,42
Caterpie,2024,Alabama,56
Caterpie,2024,Alaska,0
Caterpie,2024,Arizona,75
Caterpie,2024,Arkansas,75
Caterpie,2024,California,87
Caterpie,2024,Colorado,75
Caterpie,2024,Connecticut,68
Caterpie,2024,Delaware,93
Caterpie,2024,District of Columbia,56
Caterpie,2024,Florida,75
Caterpie,2024,Georgia,62
Caterpie,2024,Hawaii,81
Caterpie,2024,Idaho,93
Caterpie,2024,Illinois,75
Caterpie,2024,Indiana,93
Caterpie,2024,Iowa,68
Caterpie,2024,Kansas,75
Caterpie,2024,Kentucky,87
Caterpie,2024,Louisiana,56
Caterpie,2024,Maine,68
Caterpie,2024,Maryland,81
Caterpie,2024,Massachusetts,62
Caterpie,2024,Michigan,75
Caterpie,2024,Minnesota,75
