name,state,congress,start_date,end_date
"Mouton, Alexander",LA,FOURTH Congress,1837-01-12,
"Lyon, Lucius",MI,FOURTH Congress,1837-01-26,
"Allen, William",OH,FIFTH Congress,1837-03-04,
"McKinley, John",AL,FIFTH Congress,1837-03-04,
"Pierce, Franklin",NH,FIFTH Congress,1837-03-04,
"Smith, Oliver H.",IN,FIFTH Congress,1837-03-04,
"Smith, Perry",CT,FIFTH Congress,1837-03-04,
"Williams, Reuel",ME,FIFTH Congress,1837-03-04,
"Young, Richard M.",IL,FIFTH Congress,1837-03-04,
"Roane, William H.",VA,FIFTH Congress,1837-03-14,
"Clay, Clement Comer",AL,FIFTH Congress,1837-06-19,
"Merrick, William D.",MD,FIFTH Congress,1838-01-04,
"Trotter, James F.",MS,FIFTH Congress,1838-01-22,
"Betts, Thaddeus",CT,SIXTH Congress,1839-03-04,
"Henderson, John",MS,SIXTH Congress,1839-03-04,
"Phelps, Samuel S.",VT,SIXTH Congress,1839-03-04,
"Tappan, Benjamin",OH,SIXTH Congress,1839-03-04,
"White, Albert S.",IN,SIXTH Congress,1839-03-04,
"Sturgeon, Daniel",PA,SIXTH Congress,1840-01-14,
"Porter, Augustus S.",MI,SIXTH Congress,1840-01-20,
"Anderson, Alexander",TN,SIXTH Congress,1840-01-27,
"Huntington, Jabez W.",CT,SIXTH Congress,1840-05-04,
"Mangum, Willie",NC,SIXTH Congress,1840-05-04,
"Kerr, John Leeds",MD,SIXTH Congress,1841-01-05,
"Bayard, Richard Henry",DE,SIXTH Congress,1841-01-12,
"Bates, Isaac C.",MA,SIXTH Congress,1841-01-13,
"Rives, William C.",VA,SIXTH Congress,1841-01-18,
"Choate, Rufus",MA,SIXTH Congress,1841-02-23,
"Archer, William S.",VA,SEVENTH Congress,1841-03-04,
"Barrow, Alexander",LA,SEVENTH Congress,1841-03-04,
"Evans, George",ME,SEVENTH Congress,1841-03-04,
"McRoberts, Samuel",IL,SEVENTH Congress,1841-03-04,
"Miller, Jacob W.",NJ,SEVENTH Congress,1841-03-04,
"Morehead, James T.",KY,SEVENTH Congress,1841-03-04,
"Simmons, James F.",RI,SEVENTH Congress,1841-03-04,
"Woodbridge, William",MI,SEVENTH Congress,1841-03-04,
"Woodbury, Levi",NH,SEVENTH Congress,1841-03-04,
"Sprague, William",RI,SEVENTH Congress,1842-02-05,
"Wilcox, Leonard",NH,SEVENTH Congress,1842-03-01,
"Crittenden, John J.",KY,SEVENTH Congress,1842-03-31,
"Conrad, Charles M.",LA,SEVENTH Congress,1842-04-14,
"Crafts, Samuel C.",VT,SEVENTH Congress,1842-04-23,
"Dayton, William L.",NJ,SEVENTH Congress,1842-07-02,
"McDuffie, George",SC,SEVENTH Congress,1842-12-02,
"Atherton, Charles G.",NH,EIGHTH Congress,1843-03-04,
"Breese, Sidney",IL,EIGHTH Congress,1843-03-04,
"Colquitt, Walter T.",GA,EIGHTH Congress,1843-03-04,
"Hannegan, Edward A.",IN,EIGHTH Congress,1843-03-04,
"Haywood, William H., Jr.",NC,EIGHTH Congress,1843-03-04,
"Huger, Daniel Elliott",SC,EIGHTH Congress,1843-03-04,
"Niles, John M.",CT,EIGHTH Congress,1843-03-04,
"Pearce, James A.",MD,EIGHTH Congress,1843-03-04,
"Upham, William",VT,EIGHTH Congress,1843-03-04,
"Fairfield, John",ME,EIGHTH Congress,1843-03-07,
"Semple, James",IL,EIGHTH Congress,1843-08-16,
"Atchison, David R.",MO,EIGHTH Congress,1843-10-14,
"Foster, Ephraim H.",TN,EIGHTH Congress,1843-10-17,
"Jarnagin, Spencer",TN,EIGHTH Congress,1843-10-17,
"Francis, John B.",RI,EIGHTH Congress,1844-01-25,
"Johnson, Henry",LA,EIGHTH Congress,1844-02-12,
"Lewis, Dixon H.",AL,EIGHTH Congress,1844-04-22,
"Foster, Henry A.",NY,EIGHTH Congress,1844-04-22,
"Dix, John A.",NY,EIGHTH Congress,1845-01-18,
"Bright, Jesse D.",IN,NINTH Congress,1845-03-04,
"Cass, Lewis",MI,NINTH Congress,1845-03-04,
"Clayton, John M.",DE,NINTH Congress,1845-03-04,
"Corwin, Thomas",OH,NINTH Congress,1845-03-04,
"Greene, Albert C.",RI,NINTH Congress,1845-03-04,
"Johnson, Reverdy",MD,NINTH Congress,1845-03-04,
"Speight, Jesse",MS,NINTH Congress,1845-03-04,
"Turney, Hopkins L.",TN,NINTH Congress,1845-03-04,
"Webster, Daniel",MA,NINTH Congress,1845-03-04,
"Cameron, Simon",PA,NINTH Congress,1845-03-13,
"Davis, John",MA,NINTH Congress,1845-03-24,
"Westcott, James D., Jr.",FL,NINTH Congress,1845-07-01,
"Yulee, David Levy",FL,NINTH Congress,1845-07-01,
"Jenness, Benning W.",NH,NINTH Congress,1845-12-01,
"Pennybacker, Isaac S.",VA,NINTH Congress,1845-12-03,
"Houston, Samuel",TX,NINTH Congress,1846-02-21,
"Rusk, Thomas J.",TX,NINTH Congress,1846-02-21,
"Cilley, Joseph",NH,NINTH Congress,1846-06-13,
"Butler, Andrew P.",SC,NINTH Congress,1846-12-04,
"Soule, Pierre",LA,NINTH Congress,1847-01-21,
"Mason, James M.",VA,NINTH Congress,1847-01-21,
"Bradbury, James W.",ME,THIRTIETH Congress,1847-03-04,
"Clarke, John H.",RI,THIRTIETH Congress,1847-03-04,
"Douglas, Stephen A.",IL,THIRTIETH Congress,1847-03-04,
"Downs, Solomon W.",LA,THIRTIETH Congress,1847-03-04,
"Felch, Alpheus",MI,THIRTIETH Congress,1847-03-04,
"Foote, Henry Stuart",MS,THIRTIETH Congress,1847-03-04,
"Hale, John P.",NH,THIRTIETH Congress,1847-03-04,
"Hunter, Robert M.T.",VA,THIRTIETH Congress,1847-03-04,
"Spruance, Presley",DE,THIRTIETH Congress,1847-03-04,
"Underwood, Joseph R.",KY,THIRTIETH Congress,1847-03-04,
"Davis, Jefferson",MS,THIRTIETH Congress,1847-08-10,
"Moor, Wyman B.S.",ME,THIRTIETH Congress,1848-01-05,
"Johnson, Herschel V.",GA,THIRTIETH Congress,1848-02-04,
"Borland, Solon",AR,THIRTIETH Congress,1848-03-30,
"Sebastian, William K.",AR,THIRTIETH Congress,1848-05-12,
"Hamlin, Hannibal",ME,THIRTIETH Congress,1848-06-08,
"Dodge, Henry",WI,THIRTIETH Congress,1848-06-08,
"Walker, Isaac P.",WI,THIRTIETH Congress,1848-06-08,
"Fitzgerald, Thomas",MI,THIRTIETH Congress,1848-06-08,
"Metcalfe, Thomas",KY,THIRTIETH Congress,1848-06-23,
"King, William R.",AL,THIRTIETH Congress,1848-07-01,
"Dodge, Augustus C.",IA,THIRTIETH Congress,1848-12-07,
"Jones, George W.",IA,THIRTIETH Congress,1848-12-07,
"Wales, John",DE,THIRTIETH Congress,1849-02-23,
"Cass, Lewis",MI,FIRST Congress,1849-03-04,
"Chase, Salmon P.",OH,FIRST Congress,1849-03-04,
"Clay, Henry",KY,FIRST Congress,1849-03-04,
"Cooper, James",PA,FIRST Congress,1849-03-04,
"Dawson, William C.",GA,FIRST Congress,1849-03-04,
"Morton, Jackson",FL,FIRST Congress,1849-03-04,
"Norris, Moses, Jr.",NH,FIRST Congress,1849-03-04,
"Seward, William H.",NY,FIRST Congress,1849-03-04,
"Smith, Truman",CT,FIRST Congress,1849-03-04,
"Soule, Pierre",LA,FIRST Congress,1849-03-04,
"Whitcomb, James",IN,FIRST Congress,1849-03-04,
"Shields, James",IL,FIRST Congress,1849-10-27,
"Stewart, David",MD,FIRST Congress,1849-12-06,
"Pratt, Thomas G.",MD,FIRST Congress,1850-01-12,
"Elmore, Franklin H.",SC,FIRST Congress,1850-04-11,
"Barnwell, Robert W.",SC,FIRST Congress,1850-06-04,
"Ewing, Thomas",OH,FIRST Congress,1850-07-20,
"Winthrop, Robert C.",MA,FIRST Congress,1850-07-30,
"Gwin, William M.",CA,FIRST Congress,1850-07-30,
"Rantoul, Robert, Jr.",MA,FIRST Congress,1851-02-01,
"Bayard, James Asheton, Jr.",DE,SECOND Congress,1851-03-04,
"Brodhead, Richard",PA,SECOND Congress,1851-03-04,
"Geyer, Henry S.",MO,SECOND Congress,1851-03-04,
"Fish, Hamilton",NY,SECOND Congress,1851-03-04,
"Foot, Solomon",VT,SECOND Congress,1851-03-04,
"James, Charles T.",RI,SECOND Congress,1851-03-04,
"Jones, James C.",TN,SECOND Congress,1851-03-04,
"Mallory, Stephen R.",FL,SECOND Congress,1851-03-04,
"Stockton, Robert F.",NJ,SECOND Congress,1851-03-04,
"Wade, Benjamin F.",OH,SECOND Congress,1851-03-15,
"Sumner, Charles",MA,SECOND Congress,1851-04-24,
"McRae, John J.",MS,SECOND Congress,1851-12-01,
"Weller, John B.",CA,SECOND Congress,1852-01-30,
"Brooke, Walker",MS,SECOND Congress,1852-02-18,
"Adams, Stephen",MS,SECOND Congress,1852-03-17,
"De Saussure, William F.",SC,SECOND Congress,1852-05-10,
"Toucey, Isaac",CT,SECOND Congress,1852-05-12,
"Charlton, Robert M.",GA,SECOND Congress,1852-05-31,
"Meriwether, David",KY,SECOND Congress,1852-07-06,
"Pettit, John",IN,SECOND Congress,1853-01-11,
"Fitzpatrick, Benjamin",AL,SECOND Congress,1853-01-14,
"Phelps, Samuel S.",VT,SECOND Congress,1853-01-17,
"Allen, Philip",RI,THIRD Congress,1853-03-04,
"Atherton, Charles G.",NH,THIRD Congress,1853-03-04,
"Benjamin, Judah P.",LA,THIRD Congress,1853-03-04,
"Clay, Clement Claiborne, Jr.",AL,THIRD Congress,1853-03-04,
"Clayton, John M.",DE,THIRD Congress,1853-03-04,
"Evans, Josiah J.",SC,THIRD Congress,1853-03-04,
"Everett, Edward",MA,THIRD Congress,1853-03-04,
"Stuart, Charles E.",MI,THIRD Congress,1853-03-04,
"Thompson, John B.",KY,THIRD Congress,1853-03-04,
"Thomson, John R.",NJ,THIRD Congress,1853-03-04,
"Toombs, Robert",GA,THIRD Congress,1853-03-04,
"Wright, William",NJ,THIRD Congress,1853-03-04,
"Slidell, John",LA,THIRD Congress,1853-04-28,
"Johnson, Robert W.",AR,THIRD Congress,1853-07-06,
"Brown, Albert G.",MS,THIRD Congress,1854-01-07,
"Fessenden, William Pitt",ME,THIRD Congress,1854-02-10,
"Gillette, Francis",CT,THIRD Congress,1854-05-25,
"Rockwell, Julius",MA,THIRD Congress,1854-06-03,
"Brainerd, Lawrence",VT,THIRD Congress,1854-10-14,
"Reid, David S.",NC,THIRD Congress,1854-12-06,
"Wells, John S.",NH,THIRD Congress,1855-01-16,
"Wilson, Henry",MA,THIRD Congress,1855-01-31,
"Biggs, Asa",NC,FOURTH Congress,1855-03-04,
"Collamer, Jacob",VT,FOURTH Congress,1855-03-04,
"Crittenden, John J.",KY,FOURTH Congress,1855-03-04,
"Durkee, Charles",WI,FOURTH Congress,1855-03-04,
"Foster, Lafayette S.",CT,FOURTH Congress,1855-03-04,
"Iverson, Alfred, Sr.",GA,FOURTH Congress,1855-03-04,
"Pugh, George E.",OH,FOURTH Congress,1855-03-04,
"Trumbull, Lyman",IL,FOURTH Congress,1855-03-04,
"Yulee, David L.",FL,FOURTH Congress,1855-03-04,
"Hale, John P.",NH,FOURTH Congress,1855-07-30,
"Bell, James",NH,FOURTH Congress,1855-07-30,
"Bigler, William",PA,FOURTH Congress,1856-01-14,
"Green, James S.",MO,FOURTH Congress,1857-01-12,
"Gwin, William M.",CA,FOURTH Congress,1857-01-13,
"Bates, Martin W.",DE,FOURTH Congress,1857-01-14,
"Nourse, Amos",ME,FOURTH Congress,1857-01-16,
"Harlan, James",IA,FOURTH Congress,1857-01-29,
"Fitch, Graham N.",IN,FOURTH Congress,1857-02-04,
"Broderick, David C.",CA,FIFTH Congress,1857-03-04,
"Cameron, Simon",PA,FIFTH Congress,1857-03-04,
"Chandler, Zachariah",MI,FIFTH Congress,1857-03-04,
"Davis, Jefferson",MS,FIFTH Congress,1857-03-04,
"Dixon, James",CT,FIFTH Congress,1857-03-04,
"Doolittle, James R.",WI,FIFTH Congress,1857-03-04,
"Hamlin, Hannibal",ME,FIFTH Congress,1857-03-04,
"King, Preston",NY,FIFTH Congress,1857-03-04,
"Polk, Trusten",MO,FIFTH Congress,1857-03-04,
"Simmons, James F.",RI,FIFTH Congress,1857-03-04,
"Kennedy, Anthony",MD,FIFTH Congress,1857-03-04,
"Clark, Daniel",NH,FIFTH Congress,1857-06-27,
"Johnson, Andrew",TN,FIFTH Congress,1857-10-08,
"Hammond, James H.",SC,FIFTH Congress,1857-12-07,
"Clingman, Thomas L.",NC,FIFTH Congress,1858-05-06,
"Hayne, Arthur P.",SC,FIFTH Congress,1858-05-11,
"Rice, Henry M.",MN,FIFTH Congress,1858-05-11,
"Shields, James",MN,FIFTH Congress,1858-05-11,
"Chesnut, James Jr.",SC,FIFTH Congress,1858-12-03,
"Lane, Joseph",OR,FIFTH Congress,1859-02-14,
"Smith, Delazon",OR,FIFTH Congress,1859-02-14,
"Anthony, Henry B.",RI,SIXTH Congress,1859-03-04,
"Bingham, Kinsley S.",MI,SIXTH Congress,1859-03-04,
"Bragg, Thomas",NC,SIXTH Congress,1859-03-04,
"Hemphill, John",TX,SIXTH Congress,1859-03-04,
"Grimes, James W.",IA,SIXTH Congress,1859-03-04,
"Nicholson, Alfred O.P.",TN,SIXTH Congress,1859-03-04,
"Powell, Lazarus W.",KY,SIXTH Congress,1859-03-04,
"Saulsbury, Willard, Sr.",DE,SIXTH Congress,1859-03-04,
"Ten Eyck, John C.",NJ,SIXTH Congress,1859-03-04,
"Wilkinson, Morton S.",MN,SIXTH Congress,1859-03-04,
"Wigfall, Louis T.",TX,SIXTH Congress,1859-12-05,
"Latham, Milton S.",CA,SIXTH Congress,1860-03-05,
"Baker, Edward D.",OR,SIXTH Congress,1860-10-02,
"Morrill, Lot Myrick",ME,SIXTH Congress,1861-01-17,
"Breckinridge, John C.",KY,SEVENTH Congress,1861-03-04,
"Chase, Salmon P.",OH,SEVENTH Congress,1861-03-04,
"Cowan, Edgar",PA,SEVENTH Congress,1861-03-04,
"Harris, Ira",NY,SEVENTH Congress,1861-03-04,
"Howe, Timothy O.",WI,SEVENTH Congress,1861-03-04,
"Lane, Henry S.",IN,SEVENTH Congress,1861-03-04,
"McDougall, James A.",CA,SEVENTH Congress,1861-03-04,
"Mitchel, Charles B.",AR,SEVENTH Congress,1861-03-04,
"Nesmith, James W.",OR,SEVENTH Congress,1861-03-04,
"Stark, Benjamin",OR,SEVENTH Congress,1861-03-04,
"Wilmot, David",PA,SEVENTH Congress,1861-03-04,
"Johnson, Waldo P.",MO,SEVENTH Congress,1861-03-17,
"Sherman, John",OH,SEVENTH Congress,1861-03-21,
"Lane, James H.",KS,SEVENTH Congress,1861-04-04,
"Pomeroy, Samuel C.",KS,SEVENTH Congress,1861-04-04,
"Browning, Orville H.",IL,SEVENTH Congress,1861-06-26,
"Willey, Waitman T.",VA,SEVENTH Congress,1861-07-09,
"Carlile, John S.",VA,SEVENTH Congress,1861-07-09,
"Howard, Jacob M.",MI,SEVENTH Congress,1862-01-04,
"Henderson, John B.",MO,SEVENTH Congress,1862-01-17,
"Wilson, Robert",MO,SEVENTH Congress,1862-01-17,
"Wright, Joseph A.",IN,SEVENTH Congress,1862-02-24,
"Richardson, William A.",IL,SEVENTH Congress,1863-01-30,
"Turpie, David",IN,SEVENTH Congress,1863-01-14,
"Wall, James W.",NJ,SEVENTH Congress,1863-01-14,
"Bowden, Lemuel J.",VA,EIGHTH Congress,1863-03-04,
"Buckalew, Charles R.",PA,EIGHTH Congress,1863-03-04,
"Conness, John",CA,EIGHTH Congress,1863-03-04,
"Hendricks, Thomas A.",IN,EIGHTH Congress,1863-03-04,
"Johnson, Reverdy",MD,EIGHTH Congress,1863-03-04,
"Morgan, Edwin D.",NY,EIGHTH Congress,1863-03-04,
"Ramsey, Alexander",MN,EIGHTH Congress,1863-03-04,
"Wright, William",NJ,EIGHTH Congress,1863-03-04,
"Van Winkle, Peter G.",WV,EIGHTH Congress,1863-08-04,
"Willey, Waitman T.",WV,EIGHTH Congress,1863-08-04,
"Riddle, George Read",DE,EIGHTH Congress,1864-01-29,
"Farwell, Nathan A.",ME,EIGHTH Congress,1864-10-27,
"Cragin, Aaron H.",NH,NINTH Congress,1865-03-04,
"Guthrie, James",KY,NINTH Congress,1865-03-04,
"Fessenden, William Pitt",ME,NINTH Congress,1865-03-04,
"Norton, Daniel S.",MN,NINTH Congress,1865-03-04,
"Poland, Luke P.",VT,NINTH Congress,1865-03-04,
"Williams, George Henry",OR,NINTH Congress,1865-03-04,
"Yates, Richard",IL,NINTH Congress,1865-03-04,
"Creswell, John A.J.",MD,NINTH Congress,1865-03-09,
"Stockton, John P.",NJ,NINTH Congress,1865-03-15,
"Kirkwood, Samuel J.",IA,NINTH Congress,1866-01-13,
"Edmunds, George F.",VT,NINTH Congress,1866-04-03,
"Ross, Edmund G.",KS,NINTH Congress,1866-07-19,
"Fowler, Joseph S.",TN,NINTH Congress,1866-07-24,
"Patterson, David T.",TN,NINTH Congress,1866-07-28,
"Fogg, George G.",NH,NINTH Congress,1866-08-31,
"Thayer, John M.",NE,NINTH Congress,1867-03-01,
"Tipton, Thomas",NE,NINTH Congress,1867-03-01,
"Cameron, Simon",PA,FORTIETH Congress,1867-03-04,
"Cole, Cornelius",CA,FORTIETH Congress,1867-03-04,
"Conkling, Roscoe",NY,FORTIETH Congress,1867-03-04,
"Corbett, Henry W.",OR,FORTIETH Congress,1867-03-04,
"Drake, Charles D.",MO,FORTIETH Congress,1867-03-04,
"Ferry, Orris S.",CT,FORTIETH Congress,1867-03-04,
"Harlan, James",IA,FORTIETH Congress,1867-03-04,
"Morrill, Justin S.",VT,FORTIETH Congress,1867-03-04,
"Morton, Oliver H.P.T.",IN,FORTIETH Congress,1867-03-04,
"Patterson, James W.",NH,FORTIETH Congress,1867-03-04,
"Bayard, James Asheton, Jr.",DE,FORTIETH Congress,1867-04-05,
"McCreery, Thomas C.",KY,FORTIETH Congress,1868-02-19,
"Vickers, George",MD,FORTIETH Congress,1868-03-07,
"McDonald, Alexander",AR,FORTIETH Congress,1868-06-22,
"Rice, Benjamin F.",AR,FORTIETH Congress,1868-06-23,
"Osborn, Thomas W.",FL,FORTIETH Congress,1868-06-25,
"Welch, Adonijah S.",FL,FORTIETH Congress,1868-06-25,
"Harris, John S.",LA,FORTIETH Congress,1868-07-09,
"Kellogg, William P.",LA,FORTIETH Congress,1868-07-09,
"Whyte, William Pinkney",MD,FORTIETH Congress,1868-07-13,
"Abbott, Joseph C.",NC,FORTIETH Congress,1868-07-14,
"Pool, John",NC,FORTIETH Congress,1868-07-14,
"Robertson, Thomas J.",SC,FORTIETH Congress,1868-07-15,
"Sawyer, Frederick A.",SC,FORTIETH Congress,1868-07-16,
"Spencer, George E.",AL,FORTIETH Congress,1868-07-21,
"Warner, Willard",AL,FORTIETH Congress,1868-07-23,
"Bayard, Thomas F., Sr.",DE,FIRST Congress,1869-03-04,
"Boreman, Arthur",WV,FIRST Congress,1869-03-04,
"Brownlow, William G.",TN,FIRST Congress,1869-03-04,
Buckingham William A.,CT,FIRST Congress,1869-03-04,
"Carpenter, Matthew H.",WI,FIRST Congress,1869-03-04,
"Casserly, Eugene",CA,FIRST Congress,1869-03-04,
"Fenton, Reuben E.",NY,FIRST Congress,1869-03-04,
"Gilbert, Abijah",FL,FIRST Congress,1869-03-04,
"Hamilton, William T.",MD,FIRST Congress,1869-03-04,
"Hamlin, Hannibal",ME,FIRST Congress,1869-03-04,
"Pratt, Daniel D.",IN,FIRST Congress,1869-03-04,
"Schurz, Carl",MO,FIRST Congress,1869-03-04,
"Scott, John",PA,FIRST Congress,1869-03-04,
"Stockton, John P.",NJ,FIRST Congress,1869-03-04,
"Thurman, Allen G.",OH,FIRST Congress,1869-03-04,
"Morrill, Lot Myrick",ME,FIRST Congress,1869-10-30,
"Howell, James B.",IA,FIRST Congress,1870-01-18,
"Johnston, John W.",VA,FIRST Congress,1870-01-26,
"Lewis, John F.",VA,FIRST Congress,1870-01-26,
"Ames, Adelbert",MS,FIRST Congress,1870-02-23,
"Revels, Hiram R.",MS,FIRST Congress,1870-02-23,
"Flanagan, J. W.",TX,FIRST Congress,1870-03-30,
"Hamilton, Morgan C.",TX,FIRST Congress,1870-03-30,
"Windom, William",MN,FIRST Congress,1870-07-15,
"Blair, Francis P.",MO,FIRST Congress,1871-01-20,
"Stearns, Ozora P.",MN,FIRST Congress,1871-01-23,
"Hill, Joshua",GA,FIRST Congress,1871-02-01,
"Miller, Homer V. M.",GA,FIRST Congress,1871-02-24,
"Caldwell, Alexander",KS,SECOND Congress,1871-03-04,
"Cooper, Henry",TN,SECOND Congress,1871-03-04,
"Davis, Henry G.",WV,SECOND Congress,1871-03-04,
"Ferry, Thomas W.",MI,SECOND Congress,1871-03-04,
"Frelinghuysen, Frederick T.",NJ,SECOND Congress,1871-03-04,
"Goldthwaite, George",AL,SECOND Congress,1871-03-04,
"Hitchcock, Phineas W.",NE,SECOND Congress,1871-03-04,
"Kelly, James K.",OR,SECOND Congress,1871-03-04,
"Logan, John A.",IL,SECOND Congress,1871-03-04,
"Saulsbury, Eli",DE,SECOND Congress,1871-03-04,
"Stevenson, John W.",KY,SECOND Congress,1871-03-04,
"West, J. Rodman",LA,SECOND Congress,1871-03-04,
"Wright, George G.",IA,SECOND Congress,1871-03-04,
"Windom, William",MN,SECOND Congress,1871-03-04,
"Clayton, Powell",AR,SECOND Congress,1871-03-14,
"Alcorn, James L.",MS,SECOND Congress,1871-12-04,
"Ransom, Matt W.",NC,SECOND Congress,1872-01-30,
"Allison, William B.",IA,THIRD Congress,1873-03-04,
"Bogy, Lewis V.",MO,THIRD Congress,1873-03-04,
"Conover, Simon B.",FL,THIRD Congress,1873-03-04,
"Dennis, George R.",MD,THIRD Congress,1873-03-04,
"Dorsey, Stephen W.",AR,THIRD Congress,1873-03-04,
"Gordon, John B.",GA,THIRD Congress,1873-03-04,
"Ingalls, John J.",KS,THIRD Congress,1873-03-04,
"Jones, John P.",NV,THIRD Congress,1873-03-04,
"McCreery, Thomas C.",KY,THIRD Congress,1873-03-04,
"Merrimon, Augustus S.",NC,THIRD Congress,1873-03-04,
"Mitchell, John H.",OR,THIRD Congress,1873-03-04,
"Oglesby, Richard J.",IL,THIRD Congress,1873-03-04,
"Patterson, John J.",SC,THIRD Congress,1873-03-04,
"Sargent, Aaron A.",CA,THIRD Congress,1873-03-04,
"Wadleigh, Bainbridge",NH,THIRD Congress,1873-03-04,
"Boutwell, George S.",MA,THIRD Congress,1873-03-12,
"Pease, Henry R.",MS,THIRD Congress,1874-02-03,
"Harvey, James M.",KS,THIRD Congress,1874-02-12,
"Washburn, William B.",MA,THIRD Congress,1874-04-17,
"Eaton, William W.",CT,THIRD Congress,1875-02-05,
"Booth, Newton",CA,FOURTH Congress,1875-03-04,
"Bruce, Blanche K.",MS,FOURTH Congress,1875-03-04,
"Burnside, Ambrose",RI,FOURTH Congress,1875-03-04,
"Cameron, Angus",WI,FOURTH Congress,1875-03-04,
"Caperton, Allen T.",WV,FOURTH Congress,1875-03-04,
"Christiancy, Isaac P.",MI,FOURTH Congress,1875-03-04,
"Cockrell, Francis M.",MO,FOURTH Congress,1875-03-04,
"Dawes, Henry L.",MA,FOURTH Congress,1875-03-04,
"Johnson, Andrew",TN,FOURTH Congress,1875-03-04,
"Jones, Charles W.",FL,FOURTH Congress,1875-03-04,
"Kernan, Francis",NY,FOURTH Congress,1875-03-04,
"Maxey, Samuel B.",TX,FOURTH Congress,1875-03-04,
"McDonald, Joseph E.",IN,FOURTH Congress,1875-03-04,
"McMillan, Samuel J.R.",MN,FOURTH Congress,1875-03-04,
"Paddock, Algernon S.",NE,FOURTH Congress,1875-03-04,
"Randolph, Theodore F.",NJ,FOURTH Congress,1875-03-04,
"Sharon, William",NV,FOURTH Congress,1875-03-04,
"Wallace, William A.",PA,FOURTH Congress,1875-03-04,
"Whyte, William Pinkney",MD,FOURTH Congress,1875-03-04,
"Withers, Robert E.",VA,FOURTH Congress,1875-03-04,
"Key, David M.",TN,FOURTH Congress,1875-08-18,
"Eustis, James B.",LA,FOURTH Congress,1876-01-12,
"Barnum, William H.",CT,FOURTH Congress,1876-03-04,
"Blaine, James G.",ME,FOURTH Congress,1876-07-10,
"Price, Samuel",WV,FOURTH Congress,1876-08-26,
"Chaffee, Jerome B.",CO,FOURTH Congress,1876-08-26,
"Bailey, James E.",TN,FOURTH Congress,1877-01-19,
"Hereford, Frank",WV,FOURTH Congress,1877-01-31,
"Beck, James B.",KY,FIFTH Congress,1877-03-04,
"Butler, Mathew C.",SC,FIFTH Congress,1877-03-04,
"Coke, Richard",TX,FIFTH Congress,1877-03-04,
"Davis, David",IL,FIFTH Congress,1877-03-04,
"Garland, Augustus H.",AR,FIFTH Congress,1877-03-04,
"Grover, La Fayette",OR,FIFTH Congress,1877-03-04,
"Harris, Isham G.",TN,FIFTH Congress,1877-03-04,
"Hill, Benjamin H.",GA,FIFTH Congress,1877-03-04,
"Hoar, George F.",MA,FIFTH Congress,1877-03-04,
"Kellogg, William P.",LA,FIFTH Congress,1877-03-04,
"Kirkwood, Samuel J.",IA,FIFTH Congress,1877-03-04,
"Lamar, Lucius Q.C.",MS,FIFTH Congress,1877-03-04,
"McPherson, John R.",NJ,FIFTH Congress,1877-03-04,
"Morgan, John T.",AL,FIFTH Congress,1877-03-04,
"Plumb, Preston B.",KS,FIFTH Congress,1877-03-04,
"Rollins, Edward H.",NH,FIFTH Congress,1877-03-04,
"Saunders, Alvin",NE,FIFTH Congress,1877-03-04,
"Cameron, James Donald",PA,FIFTH Congress,1877-03-20,
"Matthews, Stanley",OH,FIFTH Congress,1877-03-21,
"Shields, James",MO,FIFTH Congress,1879-01-27,
"Chandler, Zachariah",MI,FIFTH Congress,1879-02-19,
"Call, Wilkinson",FL,SIXTH Congress,1879-03-04,
"Carpenter, Matthew H.",WI,SIXTH Congress,1879-03-04,
"Farley, James T.",CA,SIXTH Congress,1879-03-04,
"Groome, James B.",MD,SIXTH Congress,1879-03-04,
"Hampton, Wade",SC,SIXTH Congress,1879-03-04,
"Hill, Nathaniel P.",CO,SIXTH Congress,1879-03-04,
"Houston, George S.",AL,SIXTH Congress,1879-03-04,
"Jonas, Benjamin F.",LA,SIXTH Congress,1879-03-04,
"Logan, John A.",IL,SIXTH Congress,1879-03-04,
"Pendleton, George H.",OH,SIXTH Congress,1879-03-04,
"Platt, Orville H.",CT,SIXTH Congress,1879-03-04,
"Slater, James H.",OR,SIXTH Congress,1879-03-04,
"Vance, Zebulon",NC,SIXTH Congress,1879-03-04,
"Vest, George G.",MO,SIXTH Congress,1879-03-04,
"Walker, James D.",AR,SIXTH Congress,1879-03-04,
"Williams, John Stuart",KY,SIXTH Congress,1879-03-04,
"Bell, Charles H.",NH,SIXTH Congress,1879-03-13,
"Blair, Henry W.",NH,SIXTH Congress,1879-06-17,
"Pryor, Luke",AL,SIXTH Congress,1880-01-07,
"Brown, Joseph E.",GA,SIXTH Congress,1880-05-26,
"MCamden, Johnson N.",WV,SEVENTH Congress,1881-03-04,
"Conger, Omar D.",MI,SEVENTH Congress,1881-03-04,
"Fair, James G.",NV,SEVENTH Congress,1881-03-04,
"George, James Z.",MS,SEVENTH Congress,1881-03-04,
"Gorman, Arthur P.",MD,SEVENTH Congress,1881-03-04,
"Hale, Eugene",ME,SEVENTH Congress,1881-03-04,
"Harrison, Benjamin",IN,SEVENTH Congress,1881-03-04,
"Hawley, Joseph R.",CT,SEVENTH Congress,1881-03-04,
"Jackson, Howell E.",TN,SEVENTH Congress,1881-03-04,
"Mahone, William",VA,SEVENTH Congress,1881-03-04,
