country_name,country_code,year,forest_perc,is_country
Zambia,ZMB,2022,59.7769691548178,True
Costa Rica,CRI,2022,60.0785350567959,True
Slovenia,SVN,2022,61.2701922885918,True
Montenegro,MNE,2022,61.4869888475836,True
Timor-Leste,TLS,2022,61.7552118359112,True
Fiji,FJI,2022,63.1297208538588,True
Dominica,DMA,2022,63.8266666666667,True
Congo,COG,2022,64.1756954612006,True
South Korea,KOR,2022,64.2110655737705,True
Japan,JPN,2022,68.4087791495199,True
Sweden,SWE,2022,68.6996660773915,True
Guinea-Bissau,GNB,2022,69.8125889046942,True
Bhutan,BTN,2022,71.5532249606712,True
Lao,LAO,2022,71.6052859618717,True
Brunei Darussalam,BRN,2022,72.1062618595825,True
St. Vincent & Grenadines,VCT,2022,73.1794871794872,True
Seychelles,SYC,2022,73.2608695652174,True
Finland,FIN,2022,73.7264996576714,True
Liberia,LBR,2022,78.4563953488372,True
Papua New Guinea,PNG,2022,79.0281764783818,True
American Samoa,ASM,2022,85.35,True
Equatorial Guinea,GNQ,2022,86.6916221033868,True
Solomon Islands,SLB,2022,90.0861021793498,True
Palau,PLW,2022,90.3695652173913,True
Gabon,GAB,2022,91.228470524314,True
Micronesia,FSM,2022,92.1142857142857,True
Guyana,GUY,2022,93.4565969011938,True
Suriname,SUR,2022,94.5238739770656,True
