player,detail,peak_date,birth_year,gender
Chris Curtis,Middleweight,2024,1987,M
Belal Muhammad,Welterweight,2024,1988,M
Leon Edwards,Welterweight,2024,1991,M
Kamaru Usman,Welterweight,2024,1987,M
Shavkat Rakhmonov,Welterweight,2024,1994,M
Jack Della Maddalena,Welterweight,2024,1996,M
Sean Brady,Welterweight,2024,1992,M
Colby Covington,Welterweight,2024,1988,M
Ian Machado Garry,Welterweight,2024,1997,M
Gilbert Burns,Welterweight,2024,1986,M
Joaquin Buckley,Welterweight,2024,1994,M
Geoff Neal,Welterweight,2024,1990,M
Stephen Thompson,Welterweight,2024,1983,M
Michael Morales,Welterweight,2024,1999,M
Michael Page,Welterweight,2024,1987,M
Vicente Luque,Welterweight,2024,1991,M
Neil Magny,Welterweight,2024,1987,M
Islam Makhachev,Lightweight,2024,1991,M
Arman Tsarukyan,Lightweight,2024,1996,M
Charles Oliveira,Lightweight,2024,1989,M
Justin Gaethje,Lightweight,2024,1988,M
Dustin Poirier,Lightweight,2024,1989,M
Dan Hooker,Lightweight,2024,1990,M
Michael Chandler,Lightweight,2024,1986,M
Beneil Dariush,Lightweight,2024,1989,M
Max Holloway,Lightweight,2024,1991,M
Mateusz Gamrot,Lightweight,2024,1990,M
Rafael Fiziev,Lightweight,2024,1993,M
Renato Moicano,Lightweight,2024,1989,M
Benoît Saint Denis,Lightweight,2024,1995,M
Jalin Turner,Lightweight,2024,1995,M
Paddy Pimblett,Lightweight,2024,1995,M
Rafael dos Anjos,Lightweight,2024,1984,M
Ilia Topuria,Featherweight,2024,1997,M
Alexander Volkanovski,Featherweight,2024,1988,M
Max Holloway,Featherweight,2024,1991,M
Diego Lopes,Featherweight,2024,1994,M
Yair Rodríguez,Featherweight,2024,1992,M
Movsar Evloev,Featherweight,2024,1994,M
Brian Ortega,Featherweight,2024,1991,M
Arnold Allen,Featherweight,2024,1994,M
Josh Emmett,Featherweight,2024,1985,M
Aljamain Sterling,Featherweight,2024,1989,M
Calvin Kattar,Featherweight,2024,1988,M
Giga Chikadze,Featherweight,2024,1988,M
Lerone Murphy,Featherweight,2024,1991,M
Bryce Mitchell,Featherweight,2024,1994,M
Dan Ige,Featherweight,2024,1991,M
Edson Barboza,Featherweight,2024,1986,M
Merab Dvalishvili,Bantamweight,2024,1991,M
Sean O'Malley,Bantamweight,2024,1994,M
Umar Nurmagomedov,Bantamweight,2024,1996,M
Petr Yan,Bantamweight,2024,1993,M
Cory Sandhagen,Bantamweight,2024,1992,M
Deiveson Figueiredo,Bantamweight,2024,1987,M
Marlon Vera,Bantamweight,2024,1992,M
Henry Cejudo,Bantamweight,2024,1987,M
Song Yadong,Bantamweight,2024,1997,M
Mario Bautista,Bantamweight,2024,1993,M
Rob Font,Bantamweight,2024,1987,M
José Aldo,Bantamweight,2024,1986,M
Kyler Phillips,Bantamweight,2024,1995,M
Jonathan Martinez,Bantamweight,2024,1994,M
Dominick Cruz,Bantamweight,2024,1985,M
Montel Jackson,Bantamweight,2024,1992,M
Alexandre Pantoja,Flyweight,2024,1990,M
Brandon Royval,Flyweight,2024,1992,M
Brandon Moreno,Flyweight,2024,1993,M
Amir Albazi,Flyweight,2024,1993,M
Kai Kara-France,Flyweight,2024,1993,M
Tatsuro Taira,Flyweight,2024,2000,M
Alex Perez,Flyweight,2024,1992,M
Matheus Nicolau,Flyweight,2024,1993,M
Steve Erceg,Flyweight,2024,1995,M
Manel Kape,Flyweight,2024,1993,M
Tim Elliott,Flyweight,2024,1986,M
Tagir Ulanbekov,Flyweight,2024,1991,M
Bruno Gustavo da Silva,Flyweight,2024,1990,M
Cody Durden,Flyweight,2024,1991,M
Asu Almabayev,Flyweight,2024,1994,M
Matt Schnell,Flyweight,2024,1990,M
Julianna Peña,Bantamweight,2024,1989,F
Raquel Pennington,Bantamweight,2024,1988,F
Kayla Harrison,Bantamweight,2024,1990,F
Ketlen Vieira,Bantamweight,2024,1991,F
Macy Chiasson,Bantamweight,2024,1991,F
Norma Dumont,Bantamweight,2024,1990,F
Irene Aldana,Bantamweight,2024,1988,F
Mayra Bueno Silva,Bantamweight,2024,1991,F
Holly Holm,Bantamweight,2024,1981,F
Karol Rosa,Bantamweight,2024,1994,F
Yana Santos,Bantamweight,2024,1989,F
Miesha Tate,Bantamweight,2024,1986,F
Julia Avila,Bantamweight,2024,1988,F
Germaine de Randamie,Bantamweight,2024,1984,F
Ailín Pérez,Bantamweight,2024,1994,F
Chelsea Chandler,Bantamweight,2024,1994,F
Valentina Shevchenko,Flyweight,2024,1988,F
Alexa Grasso,Flyweight,2024,1993,F
Manon Fiorot,Flyweight,2024,1990,F
Erin Blanchfield,Flyweight,2024,1999,F
Maycee Barber,Flyweight,2024,1998,F
Rose Namajunas,Flyweight,2024,1992,F
Natália Silva,Flyweight,2024,1997,F
Katlyn Cerminara,Flyweight,2024,1988,F
Jéssica Andrade,Flyweight,2024,1991,F
Viviane Araújo,Flyweight,2024,1986,F
Amanda Ribas,Flyweight,2024,1993,F
Karine Silva,Flyweight,2024,1993,F
Tracy Cortez,Flyweight,2024,1993,F
Ariane da Silva,Flyweight,2024,1994,F
Jasmine Jasudavicius,Flyweight,2024,1989,F
Casey O'Neill,Flyweight,2024,1997,F
Zhang Weili,Strawweight,2024,1989,F
Tatiana Suarez,Strawweight,2024,1990,F
Yan Xiaonan,Strawweight,2024,1989,F
Virna Jandiroba,Strawweight,2024,1988,F
Jéssica Andrade,Strawweight,2024,1991,F
Amanda Lemos,Strawweight,2024,1987,F
Mackenzie Dern,Strawweight,2024,1993,F
Amanda Ribas,Strawweight,2024,1993,F
Iasmin Lucindo,Strawweight,2024,2002,F
Marina Rodriguez,Strawweight,2024,1987,F
Tabatha Ricci,Strawweight,2024,1995,F
Loopy Godinez,Strawweight,2024,1993,F
Angela Hill,Strawweight,2024,1985,F
Luana Pinheiro,Strawweight,2024,1993,F
Gillian Robertson,Strawweight,2024,1995,F
Tecia Pennington,Strawweight,2024,1989,F
