player,detail,peak_date,birth_year,gender
Wilt Chamberlain,second,1964,1936,M
Oscar Robertson,first,1964,1938,M
Sam Jones,second,1964,1933,M
Jerry West,first,1964,1938,M
Hal Greer,second,1964,1936,M
Rick Barry,first,1965,1944,M
John Havlicek,second,1965,1940,M
Jerry Lucas,first,1965,1940,M
Gus Johnson,second,1965,1938,M
Wilt Chamberlain,first,1965,1936,M
Bill Russell,second,1965,1934,M
Oscar Robertson,first,1965,1938,M
Sam Jones,second,1965,1933,M
Jerry West,first,1965,1938,M
Hal Greer,second,1965,1936,M
Rick Barry,first,1966,1944,M
Willis Reed,second,1966,1942,M
Elgin Baylor,first,1966,1934,M
Jerry Lucas,second,1966,1940,M
Wilt Chamberlain,first,1966,1936,M
Bill Russell,second,1966,1934,M
Jerry West,first,1966,1938,M
Hal Greer,second,1966,1936,M
Oscar Robertson,first,1966,1938,M
Sam Jones,second,1966,1933,M
Elgin Baylor,first,1967,1934,M
Willis Reed,second,1967,1942,M
Jerry Lucas,first,1967,1940,M
John Havlicek,second,1967,1940,M
Wilt Chamberlain,first,1967,1936,M
Bill Russell,second,1967,1934,M
Dave Bing,first,1967,1943,M
Hal Greer,second,1967,1936,M
Oscar Robertson,first,1967,1938,M
Jerry West,second,1967,1938,M
Billy Cunningham,first,1968,1943,M
John Havlicek,second,1968,1940,M
Elgin Baylor,first,1968,1934,M
Dave DeBusschere,second,1968,1940,M
Wes Unseld,first,1968,1946,M
Willis Reed,second,1968,1942,M
Earl Monroe,first,1968,1944,M
Hal Greer,second,1968,1936,M
Oscar Robertson,first,1968,1938,M
Jerry West,second,1968,1938,M
Billy Cunningham,first,1969,1943,M
John Havlicek,second,1969,1940,M
Connie Hawkins,first,1969,1942,M
Gus Johnson,second,1969,1938,M
Willis Reed,first,1969,1942,M
Lew Alcindor,second,1969,1947,M
Jerry West,first,1969,1938,M
Lou Hudson,second,1969,1944,M
Walt Frazier,first,1969,1945,M
Oscar Robertson,second,1969,1938,M
John Havlicek,first,1970,1940,M
Gus Johnson,second,1970,1938,M
Billy Cunningham,first,1970,1943,M
Bob Love,second,1970,1942,M
Lew Alcindor,first,1970,1947,M
Willis Reed,second,1970,1942,M
Jerry West,first,1970,1938,M
Walt Frazier,second,1970,1945,M
Dave Bing,first,1970,1943,M
Oscar Robertson,second,1970,1938,M
John Havlicek,first,1971,1940,M
Bob Love,second,1971,1942,M
Spencer Haywood,first,1971,1949,M
Billy Cunningham,second,1971,1943,M
Kareem Abdul-Jabbar,first,1971,1947,M
Wilt Chamberlain,second,1971,1936,M
Jerry West,first,1971,1938,M
Nate Archibald,second,1971,1948,M
Walt Frazier,first,1971,1945,M
Archie Clark,second,1971,1941,M
John Havlicek,first,1972,1940,M
Elvin Hayes,second,1972,1945,M
Spencer Haywood,first,1972,1949,M
Rick Barry,second,1972,1944,M
Kareem Abdul-Jabbar,first,1972,1947,M
Dave Cowens,second,1972,1948,M
Nate Archibald,first,1972,1948,M
Walt Frazier,second,1972,1945,M
Jerry West,first,1972,1938,M
Pete Maravich,second,1972,1947,M
John Havlicek,first,1973,1940,M
Elvin Hayes,second,1973,1945,M
Rick Barry,first,1973,1944,M
Spencer Haywood,second,1973,1949,M
Kareem Abdul-Jabbar,first,1973,1947,M
Bob McAdoo,second,1973,1951,M
Walt Frazier,first,1973,1945,M
Dave Bing,second,1973,1943,M
Gail Goodrich,first,1973,1943,M
Norm Van Lier,second,1973,1947,M
Rick Barry,first,1974,1944,M
John Havlicek,second,1974,1940,M
Elvin Hayes,first,1974,1945,M
Spencer Haywood,second,1974,1949,M
Bob McAdoo,first,1974,1951,M
Dave Cowens,second,1974,1948,M
Nate Archibald,first,1974,1948,M
Phil Chenier,second,1974,1950,M
