player,detail,peak_date,birth_year,gender
Isabell Werth,Silver,2016,1969,F
Kristina Bröring-Sprehe,Bronze,2016,1986,F
Jessica von Bredow-Werndl,Gold,2020,1986,F
Isabell Werth,Silver,2020,1969,F
Charlotte Dujardin,Bronze,2020,1985,F
Jessica von Bredow-Werndl,Gold,2024,1986,F
Isabell Werth,Silver,2024,1969,F
Charlotte Fry,Bronze,2024,1996,F
Josef Neckermann,Gold,1966,1912,M
Harry Boldt,Silver,1966,1930,M
Reiner Klimke,Bronze,1966,1936,M
Elena Petushkova,Gold,1970,1940,F
Liselott Linsenhoff,Silver,1970,1927,F
Ivan Kizimov,Bronze,1970,1928,M
Reiner Klimke,Gold,1974,1936,M
Liselott Linsenhoff,Silver,1974,1927,F
Elena Petushkova,Bronze,1974,1940,F
Christine Stückelberger,Gold,1978,1947,F
Uwe Schulten-Baumer,Silver,1978,1926,M
Jennie Loriston-Clarke,Bronze,1978,1943,F
Reiner Klimke,Gold,1982,1936,M
Christine Stückelberger,Silver,1982,1947,F
Uwe Schulten-Baumer,Bronze,1982,1926,M
Anne Grethe Jensen,Gold,1986,1951,F
Christine Stückelberger,Silver,1986,1947,F
Johann Hinnemann,Bronze,1986,1948,M
Nicole Uphoff,Gold,1990,1967,F
Kyra Kyrklund,Silver,1990,1951,F
Monica Theodorescu,Bronze,1990,1963,F
Isabell Werth,Gold (Spécial),1994,1969,F
Nicole Uphoff,Silver (Spécial),1994,1967,F
Sven Rothenberger,Bronze (Spécial),1994,1966,M
Anky van Grunsven,Gold (Freestyle),1994,1968,F
Klaus Balkenhol,Silver (Freestyle),1994,1939,M
Karin Rehbein,Bronze (Freestyle),1994,1949,F
Isabell Werth,Gold,1998,1969,F
Anky van Grunsven,Silver,1998,1968,F
Ulla Salzgeber,Bronze,1998,1958,F
Nadine Capellmann,Gold,2002,1965,F
Beatriz Ferrer-Salat,Silver,2002,1966,F
Ulla Salzgeber,Bronze,2002,1958,F
Isabell Werth,Gold (Spécial),2006,1969,F
Anky van Grunsven,Silver (Spécial),2006,1968,F
Andreas Helgstrand,Bronze (Spécial),2006,1977,M
Anky van Grunsven,Gold (Freestyle),2006,1968,F
Andreas Helgstrand,Silver (Freestyle),2006,1977,M
Isabell Werth,Bronze (Freestyle),2006,1969,F
Edward Gal,Gold (Spécial),2010,1970,M
Laura Bechtolsheimer,Silver (Spécial),2010,1985,F
Steffen Peters,Bronze (Spécial),2010,1964,M
Edward Gal,Gold (Freestyle),2010,1970,M
Laura Bechtolsheimer,Silver (Freestyle),2010,1985,F
Steffen Peters,Bronze (Freestyle),2010,1964,M
Charlotte Dujardin,Gold (Spécial),2014,1985,F
Helen Langehanenberg,Silver (Spécial),2014,1982,F
Kristina Sprehe,Bronze (Spécial),2014,1986,F
Charlotte Dujardin,Gold (Freestyle),2014,1985,F
Helen Langehanenberg,Silver (Freestyle),2014,1982,F
Adelinde Cornelissen,Bronze (Freestyle),2014,1979,F
Isabell Werth,Gold (Spécial),2018,1969,F
Laura Graves,Silver (Spécial),2018,1987,F
Charlotte Dujardin,Bronze (Spécial),2018,1985,F
Charlotte Fry,Gold (Spécial),2022,1996,F
Cathrine Laudrup-Dufour,Silver (Spécial),2022,1992,F
Dinja van Liere,Bronze (Spécial),2022,1990,F
Charlotte Fry,Gold (Freestyle),2022,1996,F
Cathrine Laudrup-Dufour,Silver (Freestyle),2022,1992,F
Dinja van Liere,Bronze (Freestyle),2022,1990,F
