country_search,Average Interest,Wikipedia Interest,Year
Uzbekistan,2.3773584905660377,91.16981132075472,2024
Vanuatu,1.1886792452830188,91.16981132075472,2024
Venezuela,14.584905660377359,39.528301886792455,2024
Vietnam,43.60377358490566,91.16981132075472,2024
Yemen,6.3584905660377355,91.16981132075472,2024
Zambia,2.3207547169811322,91.16981132075472,2024
Zimbabwe,4.867924528301887,91.16981132075472,2024
England,43.9622641509434,37.716981132075475,2024
Scotland,27.132075471698112,91.16981132075472,2024
Wales,16.88679245283019,91.16981132075472,2024
Northern Ireland,2.358490566037736,91.16981132075472,2024
Samoa,4.943396226415095,91.16981132075472,2024
